coach_type,phase,section,task
Power Car,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Sitter,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Sleeper,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Baggage Van,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Diner,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Kitchen,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Power Car,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Sitter,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Sleeper,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Baggage Van,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
Diner,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
Kitchen,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
KP-1 to Car Carrier,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
Power Car,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
Sitter,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
Sleeper,Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum -  Fit Stand Pipes (Gooseneck)
KP-1 to Car Carrier,Completion,BUP,Vacuum -  Fit Vacuum Gauge. Van
Baggage Van,Completion,BUP,Vacuum - Brake Rigging
Diner,Completion,BUP,Vacuum - Brake Rigging
Kitchen,Completion,BUP,Vacuum - Brake Rigging
KP-1 to Car Carrier,Completion,BUP,Vacuum - Brake Rigging
Power Car,Completion,BUP,Vacuum - Brake Rigging
Sitter,Completion,BUP,Vacuum - Brake Rigging
Sleeper,Completion,BUP,Vacuum - Brake Rigging
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Brake Rigging
Baggage Van,Completion,BUP,Vacuum - Fit Brake Blocks 
Diner,Completion,BUP,Vacuum - Fit Brake Blocks 
Kitchen,Completion,BUP,Vacuum - Fit Brake Blocks 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Brake Blocks 
Power Car,Completion,BUP,Vacuum - Fit Brake Blocks 
Sitter,Completion,BUP,Vacuum - Fit Brake Blocks 
Sleeper,Completion,BUP,Vacuum - Fit Brake Blocks 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Brake Blocks 
Baggage Van,Completion,BUP,Vacuum - Fit Handbrake 
Diner,Completion,BUP,Vacuum - Fit Handbrake 
Kitchen,Completion,BUP,Vacuum - Fit Handbrake 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Handbrake 
Power Car,Completion,BUP,Vacuum - Fit Handbrake 
Sitter,Completion,BUP,Vacuum - Fit Handbrake 
Sleeper,Completion,BUP,Vacuum - Fit Handbrake 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Handbrake 
Baggage Van,Completion,BUP,Vacuum - Fit Slack Adjusters 
Diner,Completion,BUP,Vacuum - Fit Slack Adjusters 
Kitchen,Completion,BUP,Vacuum - Fit Slack Adjusters 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Slack Adjusters 
Power Car,Completion,BUP,Vacuum - Fit Slack Adjusters 
Sitter,Completion,BUP,Vacuum - Fit Slack Adjusters 
Sleeper,Completion,BUP,Vacuum - Fit Slack Adjusters 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Slack Adjusters 
Baggage Van,Completion,BUP,Vacuum - Fit Trunion & Brackets
Diner,Completion,BUP,Vacuum - Fit Trunion & Brackets
Kitchen,Completion,BUP,Vacuum - Fit Trunion & Brackets
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Trunion & Brackets
Power Car,Completion,BUP,Vacuum - Fit Trunion & Brackets
Sitter,Completion,BUP,Vacuum - Fit Trunion & Brackets
Sleeper,Completion,BUP,Vacuum - Fit Trunion & Brackets
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Trunion & Brackets
Baggage Van,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
Diner,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
Kitchen,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
Power Car,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
Sitter,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
Sleeper,Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Vacuum Chamber B17 
Baggage Van,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
Diner,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
Kitchen,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
Power Car,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
Sitter,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
Sleeper,Completion,BUP,Vacuum - Fit Vacuum Cylinder 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Vacuum Cylinder 
Baggage Van,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
Diner,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
Kitchen,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
Power Car,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
Sitter,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
Sleeper,Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Vacuum Cylinder Piston Rod 
Baggage Van,Completion,BUP,Vacuum - Fit Vacuum Hoses 
Diner,Completion,BUP,Vacuum - Fit Vacuum Hoses 
Kitchen,Completion,BUP,Vacuum - Fit Vacuum Hoses 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Vacuum Hoses 
Power Car,Completion,BUP,Vacuum - Fit Vacuum Hoses 
Sitter,Completion,BUP,Vacuum - Fit Vacuum Hoses 
Sleeper,Completion,BUP,Vacuum - Fit Vacuum Hoses 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Vacuum Hoses 
Baggage Van,Completion,BUP,Vacuum - Fit Vacuum Piping 
Diner,Completion,BUP,Vacuum - Fit Vacuum Piping 
Kitchen,Completion,BUP,Vacuum - Fit Vacuum Piping 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Fit Vacuum Piping 
Power Car,Completion,BUP,Vacuum - Fit Vacuum Piping 
Sitter,Completion,BUP,Vacuum - Fit Vacuum Piping 
Sleeper,Completion,BUP,Vacuum - Fit Vacuum Piping 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Fit Vacuum Piping 
Baggage Van,Completion,BUP,Vacuum - Underframe Brake Rigging 
Diner,Completion,BUP,Vacuum - Underframe Brake Rigging 
Kitchen,Completion,BUP,Vacuum - Underframe Brake Rigging 
KP-1 to Car Carrier,Completion,BUP,Vacuum - Underframe Brake Rigging 
Power Car,Completion,BUP,Vacuum - Underframe Brake Rigging 
Sitter,Completion,BUP,Vacuum - Underframe Brake Rigging 
Sleeper,Completion,BUP,Vacuum - Underframe Brake Rigging 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Underframe Brake Rigging 
Baggage Van,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
Diner,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
Kitchen,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
KP-1 to Car Carrier,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
Power Car,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
Sitter,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
Sleeper,Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Vacuum - Vacuum Test & Brake Adjustment
Motor,Completion,Coach Build,Body -  Fit Card Clip
Motor,Completion,Coach Build,Body -  Fit Commode Handle Coach End
Motor,Completion,Coach Build,"Body -  Fit Commode Handle , Driver'S Sides"
Motor,Completion,Coach Build,Body -  Fit Driver'S Stone Guard Screen
Motor,Completion,Coach Build,Body -  Fit Floors (Saloon & Drivers)
Motor,Completion,Coach Build,Body -  Fit Lamp Bracket
Motor,Completion,Coach Build,Body - Lay Bodyside & Ceiling Insulation
Motor,Completion,Coach Build,Body - Fit Commode Handles 
Motor,Completion,Coach Build,Body - Fit Drivers Glass (10 mm Safety) 
Motor,Completion,Coach Build,Body - Fit Exterior Steps Inspect & 
Motor,Completion,Coach Build,Body - Fit  Gangway Plate
Motor,Completion,Coach Build,Body - Fit  Steps
Motor,Completion,Coach Build,Body - Fit 10M Cab 
Motor,Completion,Coach Build,Body - Fit Windows Passenger
Motor,Completion,Coach Build,Body - Fit Gangway Plate 
Motor,Completion,Coach Build,Body - Fit Monsoon Ventilator 
Motor,Completion,Coach Build,"Body - Fit Roof Mounted Louvres & Bracketry, "
Motor,Completion,Coach Build,"Body - Fit Settling Chamber, Clean & Refit"
Motor,Completion,Coach Build,Replace  Coach Floor Covering Material (Marley)Saloon After Condition Assessment
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Aliminium Window Shroud In Bar & Kitchen
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Baggage Compartment Obsevation Glass Plus Rubber
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Big
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Card Clip Big
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Card Clip Small
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim)  -  Fit Commode Handles (Ends)
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Double Glazed Windows Dining Car
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Double Glazed Windows Dining Car (Hopper)
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Extractor Fan In Canopy
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Frosted Bar Window
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Grp Pane & Shroud Including Window Rubber
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Grp Pane & Shroud Including Window Rubber
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -   Protection Bar Baggage Compartment
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Safety Gate At Kitchen (Bronze)
Kitchen,Completion,Coach Build,"Bodywork & Attachments (Excl. Interior Trim) -  Fit Small Hooper Window (Pantry, Scullery & Kitchen)"
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Vinyl Shrouds & Roller Screens
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) -  Fit Window Blinds Dining Car
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Commode Handles 
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Cross Over Treat Plate Rubber
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Cross Over Treat Plate Rubber
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Floor Plates At End
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500  mm) L/H Or R/H
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars (500 mm) L/H Or R/H
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Pillars Full Size
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Side Steps - Entrance
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Spark Plates Toilet Floor
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Spark Plates Toilet Floor
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit  Spark Plates Toilet Floor
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Monsoon Ventilators
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Reclaimed Window In Guards Compartment
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Vinyl Canopy Between Kitchen & Diner Wegman
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Vinyl Canopy Between Kitchen & Diner Wegman
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Drop
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Drop
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Drop
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Drop
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Drop
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Drop
Kitchen,Completion,Coach Build,"Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Toilet Half Drop (Toilet,Shower)"
Sitter,Completion,Coach Build,"Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Toilet Half Drop (Toilet,Shower)"
Sleeper,Completion,Coach Build,"Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Toilet Half Drop (Toilet,Shower)"
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,"Bodywork & Attachments (Excl. Interior Trim) - Fit Windows Mainline Toilet Half Drop (Toilet,Shower)"
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gangway Plate 
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass (200 X 200) for Emergency & Fire Extinguisher
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass Exit/Entrance Side Door (Including Rubber)
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass Exit/Entrance Side Door (Including Rubber)
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass Exit/Entrance Side Door (Including Rubber)
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass Exit/Entrance Side Door (Including Rubber)
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass Exit/Entrance Side Door (Including Rubber)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Glass Exit/Entrance Side Door (Including Rubber)
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gummies Rubber Diaphragms -  (Including Steel Plates)
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gummies Rubber Diaphragms -  (Including Steel Plates)
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gummies Rubber Diaphragms -  (Including Steel Plates)
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gummies Rubber Diaphragms -  (Including Steel Plates)
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gummies Rubber Diaphragms -  (Including Steel Plates)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Gummies Rubber Diaphragms -  (Including Steel Plates)
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Destination (2.5  mm X 125  mm X 625  mm)
Sitter,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
Baggage Van,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
Diner,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
Kitchen,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
Power Car,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
Sleeper,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Plate Patch Sole Bar (6  mm X 135  mm X 600  mm)
KP-1 to Car Carrier,Completion,Coach Build,Bodywork & Attachments (Excl. Interior Trim) - Fit Railings Tracks
